antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Matrix, The (1999)=high'})","frozenset({'Silence of the Lambs, The (1991)=high'})",0.09126687590295422,0.08952324017336721,0.011308723160464305,0.12390829694323142,1.38409084281663,1.0,0.003138216709131234,1.0392482392538263,0.3053746618633001,0.0667254556143445,0.03776599061837844,0.12511497206649605
"frozenset({'Silence of the Lambs, The (1991)=high'})","frozenset({'Matrix, The (1999)=high'})",0.08952324017336721,0.09126687590295422,0.011308723160464305,0.1263216471897607,1.38409084281663,1.0,0.003138216709131234,1.040123200001523,0.3047898449906138,0.0667254556143445,0.03857543029658825,0.12511497206649605
"frozenset({'Shawshank Redemption, The (1994)=high'})","frozenset({""Schindler's List (1993)=high""})",0.11313704976834554,0.07487670004483635,0.014696358292233348,0.12989872302950242,1.7348350414978058,1.0,0.006225029352771217,1.0632363432177008,0.4776119232461025,0.08479448117275079,0.059475340192310294,0.16308642072965474
"frozenset({""Schindler's List (1993)=high""})","frozenset({'Shawshank Redemption, The (1994)=high'})",0.07487670004483635,0.11313704976834554,0.014696358292233348,0.19627411842980705,1.7348350414978058,1.0,0.006225029352771217,1.1034395812898814,0.4578593138194463,0.08479448117275079,0.09374285918669345,0.16308642072965474
frozenset({'Forrest Gump (1994)=high'}),"frozenset({""Schindler's List (1993)=high""})",0.09390723857918597,0.07487670004483635,0.012454540925621482,0.13262599469496023,1.7712585439201174,1.0,0.005423076790488891,1.0665794620278186,0.4805575104464483,0.07966857871255578,0.06242334903133746,0.14947999668214412
"frozenset({""Schindler's List (1993)=high""})",frozenset({'Forrest Gump (1994)=high'}),0.07487670004483635,0.09390723857918597,0.012454540925621482,0.16633399866932802,1.7712585439201176,1.0,0.005423076790488891,1.0868774304991888,0.47067205169628445,0.07966857871255578,0.0799330523031351,0.14947999668214412
"frozenset({'Silence of the Lambs, The (1991)=high'})","frozenset({""Schindler's List (1993)=high""})",0.08952324017336721,0.07487670004483635,0.011557813978976735,0.12910406232609906,1.724222117812233,1.0,0.004854609177473675,1.0622661789261527,0.4613278862046324,0.075619295958279,0.058616362039406913,0.1417310065456177
"frozenset({""Schindler's List (1993)=high""})","frozenset({'Silence of the Lambs, The (1991)=high'})",0.07487670004483635,0.08952324017336721,0.011557813978976735,0.1543579507651364,1.724222117812233,1.0,0.004854609177473675,1.076669213233225,0.45402414907247507,0.075619295958279,0.0712096271453591,0.1417310065456177
frozenset({'Pulp Fiction (1994)=high'}),"frozenset({""Schindler's List (1993)=high""})",0.09525232899915309,0.07487670004483635,0.01150799581527425,0.12081589958158996,1.6135313055896576,1.0,0.0043758157482325965,1.0522520818050405,0.42027335584959064,0.07255025125628141,0.04965738030701429,0.13725425717602452
"frozenset({""Schindler's List (1993)=high""})",frozenset({'Pulp Fiction (1994)=high'}),0.07487670004483635,0.09525232899915309,0.01150799581527425,0.1536926147704591,1.6135313055896576,1.0,0.0043758157482325965,1.0690532621967554,0.41101693137234335,0.07255025125628141,0.06459291097887922,0.13725425717602452
"frozenset({""Schindler's List (1993)=high""})",frozenset({'Fight Club (1999)=high'}),0.07487670004483635,0.08060578887062222,0.008419269665720121,0.11244178310046574,1.3949591546203022,1.0,0.002383774190577133,1.0358691899006407,0.3060490770569061,0.05724932249322493,0.03462714235576531,0.10844586064788429
frozenset({'Fight Club (1999)=high'}),"frozenset({""Schindler's List (1993)=high""})",0.08060578887062222,0.07487670004483635,0.008419269665720121,0.10444993819530285,1.3949591546203022,1.0,0.002383774190577133,1.0330224287974152,0.3079561831994985,0.05724932249322493,0.03196680718332332,0.10844586064788429
"frozenset({'Matrix, The (1999)=high'})","frozenset({""Schindler's List (1993)=high""})",0.09126687590295422,0.07487670004483635,0.008170178847207691,0.08951965065502182,1.1955608433787446,1.0,0.001336416356192886,1.0160826651785728,0.18000056158666947,0.05171870072532324,0.015828107032754606,0.0993173768910505
"frozenset({""Schindler's List (1993)=high""})","frozenset({'Matrix, The (1999)=high'})",0.07487670004483635,0.09126687590295422,0.008170178847207691,0.10911510312707917,1.1955608433787446,1.0,0.001336416356192886,1.0200342684972814,0.1768115370976003,0.05171870072532324,0.019640779840461604,0.0993173768910505
"frozenset({'Silence of the Lambs, The (1991)=high'})",frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.08952324017336721,0.06202361380959498,0.009913814576794699,0.11074012242626599,1.785450985913604,1.0,0.004361259701298152,1.0547832077497858,0.48317259310340266,0.06999648258881462,0.05193788386777338,0.13528973992799243
frozenset({'Terminator 2: Judgment Day (1991)=high'}),"frozenset({'Silence of the Lambs, The (1991)=high'})",0.06202361380959498,0.08952324017336721,0.009913814576794699,0.15983935742971886,1.785450985913604,1.0,0.004361259701298152,1.0836936577286405,0.46900692115773246,0.06999648258881462,0.0772299968092989,0.13528973992799243
frozenset({'Forrest Gump (1994)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.09390723857918597,0.06202361380959498,0.009764360085687242,0.10397877984084881,1.6764385925665528,1.0,0.003939893786126312,1.0468238531491494,0.445315761008604,0.06680299931833673,0.04472944804256205,0.1307042493581754
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Forrest Gump (1994)=high'}),0.06202361380959498,0.09390723857918597,0.009764360085687242,0.157429718875502,1.6764385925665526,1.0,0.003939893786126312,1.0753913136023963,0.4301786202052523,0.06680299931833673,0.07010593506641476,0.1307042493581754
"frozenset({'Shawshank Redemption, The (1994)=high'})",frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.11313704976834554,0.06202361380959498,0.009614905594579783,0.08498458828709818,1.3701973017565636,1.0,0.002597736912190992,1.0250935385170403,0.30464470138710603,0.05808004814926271,0.024479267085559895,0.12000233430419165
frozenset({'Terminator 2: Judgment Day (1991)=high'}),"frozenset({'Shawshank Redemption, The (1994)=high'})",0.06202361380959498,0.11313704976834554,0.009614905594579783,0.15502008032128511,1.3701973017565636,1.0,0.002597736912190992,1.0495668945232033,0.28804360389278,0.05808004814926271,0.04722604607848309,0.12000233430419165
frozenset({'Pulp Fiction (1994)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.09525232899915309,0.06202361380959498,0.008967269466447467,0.09414225941422595,1.5178454403387611,1.0,0.0030593757981395115,1.0354566110831722,0.37709010149955036,0.06046355391333558,0.034242488486390346,0.119360286333619
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Pulp Fiction (1994)=high'}),0.06202361380959498,0.09525232899915309,0.008967269466447467,0.14457831325301204,1.517845440338761,1.0,0.0030593757981395115,1.0576627703249337,0.36373132214432413,0.06046355391333558,0.05451905081921209,0.119360286333619
"frozenset({'Matrix, The (1999)=high'})",frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.09126687590295422,0.06202361380959498,0.008767996811637523,0.09606986899563318,1.5489240806018834,1.0,0.00310729534702446,1.037664697766197,0.38998310499324684,0.060668734918993446,0.03629756109779821,0.11871766542151135
frozenset({'Terminator 2: Judgment Day (1991)=high'}),"frozenset({'Matrix, The (1999)=high'})",0.06202361380959498,0.09126687590295422,0.008767996811637523,0.14136546184738955,1.5489240806018834,1.0,0.00310729534702446,1.0583468096359419,0.3778246132452633,0.060668734918993446,0.055130141750049357,0.11871766542151135
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.06237234095551238,0.06202361380959498,0.00782145170129029,0.1253993610223642,2.0218003002425036,1.0,0.003952893713465206,1.072462498183002,0.539010666023215,0.06709401709401708,0.06756646344815789,0.12575188934652348
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.06202361380959498,0.06237234095551238,0.00782145170129029,0.12610441767068273,2.0218003002425036,1.0,0.003952893713465206,1.0729287091088116,0.5388102690260744,0.06709401709401708,0.06797162615714437,0.12575188934652348
frozenset({'Star Wars: Episode V - The Empire Strikes Back (1980)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.06825088427240572,0.06202361380959498,0.00807054251980272,0.11824817518248175,1.9065025063758683,1.0,0.0038373760315276676,1.0637646101662706,0.5103083086294335,0.066041581736649,0.059942406014338014,0.12418432855509628
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Star Wars: Episode V - The Empire Strikes Back (1980)=high'}),0.06202361380959498,0.06825088427240572,0.00807054251980272,0.13012048192771083,1.9065025063758683,1.0,0.0038373760315276676,1.0711243297145476,0.5069203471582906,0.066041581736649,0.06640156305057689,0.12418432855509628
frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.06625815772430628,0.06202361380959498,0.008120360683505206,0.12255639097744361,1.9759634024821089,1.0,0.0040107902970776006,1.0689876552127153,0.5289660696230479,0.0675787728026534,0.0645355022355123,0.12674004287828003
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)=high'}),0.06202361380959498,0.06625815772430628,0.008120360683505206,0.13092369477911645,1.9759634024821087,1.0,0.0040107902970776006,1.0744072029882057,0.5265780243756525,0.0675787728026534,0.06925419224783677,0.12674004287828003
frozenset({'Star Wars: Episode IV - A New Hope (1977)=high'}),frozenset({'Terminator 2: Judgment Day (1991)=high'}),0.07781597170328301,0.06202361380959498,0.007622179046480347,0.09795134443021768,1.5792589050182806,1.0,0.0027957512693375505,1.0398290384878728,0.39774230690601564,0.05764883195177091,0.03830344894560014,0.11042145534763896
frozenset({'Terminator 2: Judgment Day (1991)=high'}),frozenset({'Star Wars: Episode IV - A New Hope (1977)=high'}),0.06202361380959498,0.07781597170328301,0.007622179046480347,0.12289156626506025,1.5792589050182806,1.0,0.0027957512693375505,1.0513911311624657,0.3910456683204406,0.05764883195177091,0.048879175065558556,0.11042145534763896
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),"frozenset({'Shawshank Redemption, The (1994)=high'})",0.04787525531808898,0.11313704976834554,0.0075723608827778606,0.15816857440166493,1.3980263293547424,1.0,0.0021558957391829784,1.0534923302504573,0.2990216259831243,0.049350649350649346,0.050776193347074484,0.11254972093046699
"frozenset({'Shawshank Redemption, The (1994)=high'})",frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.11313704976834554,0.04787525531808898,0.0075723608827778606,0.06693086745926904,1.3980263293547424,1.0,0.0021558957391829784,1.0204225083400753,0.32102580135880643,0.049350649350649346,0.020013776816131618,0.11254972093046699
frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.05310616250685,0.04787525531808898,0.017535993623275046,0.3302063789868668,6.897224396881765,1.0,0.014993522534295678,1.4215195767940016,0.9029672680400043,0.21014925373134327,0.2965274510989628,0.34824574932694013
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low'}),0.04787525531808898,0.05310616250685,0.017535993623275046,0.3662851196670135,6.897224396881765,1.0,0.014993522534295678,1.4941953658964156,0.8980064286121998,0.21014925373134327,0.3307434738294292,0.34824574932694013
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Star Wars: Episode I - The Phantom Menace (1999)=low'}),0.04787525531808898,0.04872216410103124,0.007273451900562946,0.15192507804370448,3.11819232267002,1.0,0.004940865854576246,1.1216907979127717,0.7134583737105569,0.08142777467930842,0.10848871911868448,0.15060466581121829
frozenset({'Star Wars: Episode I - The Phantom Menace (1999)=low'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.04872216410103124,0.04787525531808898,0.007273451900562946,0.14928425357873212,3.1181923226700206,1.0,0.004940865854576246,1.1192043272823424,0.7140935552949026,0.08142777467930842,0.10650810077887662,0.15060466581121829
frozenset({'Ace Ventura: Pet Detective (1994)=low'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.05614507049270164,0.04787525531808898,0.021471628555771435,0.3824312333629104,7.988077156393028,1.0,0.01878366897108124,1.54173072881683,0.9268515744956419,0.260108630054315,0.35137830406517895,0.4154611942048683
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Ace Ventura: Pet Detective (1994)=low'}),0.04787525531808898,0.05614507049270164,0.021471628555771435,0.44849115504682624,7.988077156393028,1.0,0.01878366897108124,1.7114048816160636,0.9188012730428229,0.260108630054315,0.41568473320252,0.4154611942048683
frozenset({'Pulp Fiction (1994)=high'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.09525232899915309,0.04787525531808898,0.007373088227967917,0.07740585774058577,1.6168239151163144,1.0,0.0028128586574908522,1.0320082266620259,0.42166835080220905,0.05431192660550459,0.03101547626762129,0.11570605061847186
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Pulp Fiction (1994)=high'}),0.04787525531808898,0.09525232899915309,0.007373088227967917,0.15400624349635794,1.6168239151163144,1.0,0.0028128586574908522,1.0694495840489715,0.4006864231330535,0.05431192660550459,0.06493955870835268,0.11570605061847186
"frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low', 'Ace Ventura: Pet Detective (1994)=low'})",frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.023364718776465898,0.04787525531808898,0.012305086434514024,0.5266524520255864,11.000514744546926,1.0,0.011186494557655371,2.011470744395569,0.9308440729686662,0.20879120879120877,0.502851332644914,0.391838192714146
"frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low', 'Ace Ventura: When Nature Calls (1995)=low'})",frozenset({'Ace Ventura: Pet Detective (1994)=low'}),0.017535993623275046,0.05614507049270164,0.012305086434514024,0.7017045454545454,12.498061526982333,1.0,0.01132052683637568,3.164161287491133,0.9364084443574915,0.20048701298701296,0.6839604845829774,0.4604352363475034
"frozenset({'Ace Ventura: When Nature Calls (1995)=low', 'Ace Ventura: Pet Detective (1994)=low'})",frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low'}),0.021471628555771435,0.05310616250685,0.012305086434514024,0.5730858468677493,10.791324769396184,1.0,0.011164810639144505,2.217995891084498,0.9272423753610685,0.19759999999999997,0.5491425371797933,0.40239658197046
frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low'}),"frozenset({'Ace Ventura: When Nature Calls (1995)=low', 'Ace Ventura: Pet Detective (1994)=low'})",0.05310616250685,0.021471628555771435,0.012305086434514024,0.23170731707317072,10.791324769396185,1.0,0.011164810639144505,1.2736401025147102,0.9582203786416639,0.19759999999999997,0.21484884307146704,0.40239658197046
frozenset({'Ace Ventura: Pet Detective (1994)=low'}),"frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low', 'Ace Ventura: When Nature Calls (1995)=low'})",0.05614507049270164,0.017535993623275046,0.012305086434514024,0.21916592724046138,12.498061526982333,1.0,0.01132052683637568,1.2582237899847375,0.9747129173004375,0.20048701298701296,0.2052288249834076,0.4604352363475034
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),"frozenset({'Dumb & Dumber (Dumb and Dumber) (1994)=low', 'Ace Ventura: Pet Detective (1994)=low'})",0.04787525531808898,0.023364718776465898,0.012305086434514024,0.2570239334027055,11.000514744546926,1.0,0.011186494557655371,1.3144909037196308,0.9548067814188852,0.20879120879120877,0.23924920501900163,0.391838192714146
frozenset({'Forrest Gump (1994)=high'}),"frozenset({'Lion King, The (1994)=high'})",0.09390723857918597,0.039705076470881284,0.007074179245753001,0.0753315649867374,1.897277922181656,1.0,0.0033455851567971294,1.03852893336339,0.5219433491204539,0.05590551181102361,0.03709952811676592,0.12674984773803621
"frozenset({'Lion King, The (1994)=high'})",frozenset({'Forrest Gump (1994)=high'}),0.039705076470881284,0.09390723857918597,0.007074179245753001,0.178168130489335,1.897277922181656,1.0,0.0033455851567971294,1.1025281387059371,0.4924831725359419,0.05590551181102361,0.09299367073413357,0.12674984773803621
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Beverly Hills Cop III (1994)=low'}),0.04787525531808898,0.023065809794250984,0.007422906391670403,0.1550468262226847,6.721932921745032,1.0,0.00631862485865216,1.156199207866656,0.8940354420849476,0.11686274509803918,0.13509714139561194,0.23843054054114798
frozenset({'Beverly Hills Cop III (1994)=low'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.023065809794250984,0.04787525531808898,0.007422906391670403,0.32181425485961124,6.721932921745032,1.0,0.00631862485865216,1.4039291617443466,0.8713312273904904,0.11686274509803918,0.2877133496126505,0.23843054054114798
frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),frozenset({'Addams Family Values (1993)=low'}),0.04787525531808898,0.02127235590096149,0.007671997210182833,0.16024973985431842,7.533238941676192,1.0,0.006653577740207045,1.1654984708539977,0.9108627611400739,0.12479740680713126,0.14199801629317588,0.2604527387796182
frozenset({'Addams Family Values (1993)=low'}),frozenset({'Ace Ventura: When Nature Calls (1995)=low'}),0.02127235590096149,0.04787525531808898,0.007671997210182833,0.36065573770491804,7.533238941676191,1.0,0.006653577740207045,1.489220754502476,0.8861045042710521,0.12479740680713126,0.3285078810669119,0.2604527387796182
"frozenset({'Matrix, The (1999)=high'})",frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.09126687590295422,0.06237234095551238,0.008817814975340009,0.09661572052401746,1.5490154617241232,1.0,0.003125286273576511,1.0379056624589131,0.39002501659358674,0.0608875128998968,0.03652129844740462,0.11899476122047517
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),"frozenset({'Matrix, The (1999)=high'})",0.06237234095551238,0.09126687590295422,0.008817814975340009,0.14137380191693288,1.5490154617241232,1.0,0.003125286273576511,1.0583570896460477,0.3780057556816117,0.0608875128998968,0.055139319438550174,0.11899476122047517
frozenset({'Pulp Fiction (1994)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.09525232899915309,0.06237234095551238,0.008718178647935037,0.09152719665271966,1.467432442819522,1.0,0.0027770679067932215,1.0320921612510423,0.35207343837265104,0.058548009367681494,0.03109427864672662,0.11565177724009784
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Pulp Fiction (1994)=high'}),0.06237234095551238,0.09525232899915309,0.008718178647935037,0.13977635782747602,1.467432442819522,1.0,0.0027770679067932215,1.0517586667530736,0.33972720441452176,0.058548009367681494,0.04921154290352548,0.11565177724009784
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),"frozenset({'Shawshank Redemption, The (1994)=high'})",0.06237234095551238,0.11313704976834554,0.00782145170129029,0.1253993610223642,1.1083845767511742,1.0,0.000764829058438268,1.0140204691233163,0.10429094482819515,0.046642899584076046,0.013826613515443021,0.09726595087665987
"frozenset({'Shawshank Redemption, The (1994)=high'})",frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.11313704976834554,0.06237234095551238,0.00782145170129029,0.06913254073095552,1.1083845767511742,1.0,0.000764829058438268,1.0072622581315192,0.1102606377155073,0.046642899584076046,0.007209897991205047,0.09726595087665987
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),"frozenset({'Lord of the Rings: The Fellowship of the Ring, The (2001)=high'})",0.06237234095551238,0.06904797489164549,0.008269815174612664,0.13258785942492013,1.9202280679916464,1.0,0.0039631313423832935,1.0732522425742723,0.5111074978411068,0.06715210355987056,0.06825258747987488,0.12617848959701997
"frozenset({'Lord of the Rings: The Fellowship of the Ring, The (2001)=high'})",frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.06904797489164549,0.06237234095551238,0.008269815174612664,0.11976911976911979,1.9202280679916466,1.0,0.0039631313423832935,1.0652065044554588,0.5147725272578514,0.06715210355987056,0.061214895123826656,0.12617848959701997
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Star Wars: Episode IV - A New Hope (1977)=high'}),0.06237234095551238,0.07781597170328301,0.013052358890051312,0.2092651757188498,2.689231672346013,1.0,0.00819879457118964,1.1662367711388784,0.6699317921227343,0.10266457680250785,0.14254118482007846,0.18849942524738905
frozenset({'Star Wars: Episode IV - A New Hope (1977)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.07781597170328301,0.06237234095551238,0.013052358890051312,0.1677336747759283,2.689231672346013,1.0,0.00819879457118964,1.1265956949442228,0.6811510053234284,0.10266457680250785,0.11237012134196953,0.18849942524738905
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Forrest Gump (1994)=high'}),0.06237234095551238,0.09390723857918597,0.008269815174612664,0.13258785942492013,1.411902441504733,1.0,0.0024126008717610314,1.0445931282678262,0.31114244982693656,0.055873443285089204,0.042689471202794246,0.11032575995118686
frozenset({'Forrest Gump (1994)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.09390723857918597,0.06237234095551238,0.008269815174612664,0.08806366047745359,1.4119024415047332,1.0,0.0024126008717610314,1.028172273006899,0.32197119244517114,0.055873443285089204,0.027400343061682476,0.11032575995118686
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Star Wars: Episode V - The Empire Strikes Back (1980)=high'}),0.06237234095551238,0.06825088427240572,0.012155631943406566,0.19488817891373802,2.8554674564492433,1.0,0.00789866451905286,1.1572915604076865,0.6930199175842123,0.1026072329688814,0.13591351202135823,0.18649518434737997
frozenset({'Star Wars: Episode V - The Empire Strikes Back (1980)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.06825088427240572,0.06237234095551238,0.012155631943406566,0.1781021897810219,2.8554674564492433,1.0,0.00789866451905286,1.1408080753916057,0.6973922829948382,0.1026072329688814,0.12342836488361153,0.18649518434737997
frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)=high'}),0.06237234095551238,0.06625815772430628,0.010013450904199672,0.16054313099041534,2.4229941867448175,1.0,0.005880774499535124,1.112316637991597,0.6263547043487202,0.08441831163376733,0.1009754184693276,0.15583547526964375
frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)=high'}),frozenset({'Star Wars: Episode VI - Return of the Jedi (1983)=high'}),0.06625815772430628,0.06237234095551238,0.010013450904199672,0.1511278195488722,2.4229941867448175,1.0,0.005880774499535124,1.104556941124153,0.6289613130527272,0.08441831163376733,0.09465962073240058,0.15583547526964375
"frozenset({'Lord of the Rings: The Fellowship of the Ring, The (2001)=high'})","frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})",0.06904797489164549,0.0612265231903552,0.013052358890051312,0.18903318903318903,3.0874395471628993,1.0,0.008824791454100915,1.157597899340007,0.7262533409967414,0.111347216319592,0.1361421780653366,0.20110731868258314
"frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})","frozenset({'Lord of the Rings: The Fellowship of the Ring, The (2001)=high'})",0.0612265231903552,0.06904797489164549,0.013052358890051312,0.21318144833197722,3.0874395471628997,1.0,0.008824791454100915,1.183185148767495,0.7202025144983074,0.111347216319592,0.15482373908962266,0.20110731868258314
"frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})","frozenset({'Shawshank Redemption, The (1994)=high'})",0.0612265231903552,0.11313704976834554,0.009714541921984756,0.15866558177379986,1.4024192967615519,1.0,0.002787553720654777,1.0541146671515507,0.30566105514099573,0.059001512859304085,0.05133660391784543,0.12226541968478633
"frozenset({'Shawshank Redemption, The (1994)=high'})","frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})",0.11313704976834554,0.0612265231903552,0.009714541921984756,0.08586525759577279,1.4024192967615519,1.0,0.002787553720654777,1.0269530663943658,0.32355223700016417,0.059001512859304085,0.02624566523667731,0.12226541968478633
frozenset({'Pulp Fiction (1994)=high'}),"frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})",0.09525232899915309,0.0612265231903552,0.008020724356100234,0.0842050209205021,1.3753029983215936,1.0,0.0021887554256982446,1.025091312198767,0.3016172461567875,0.05402684563758389,0.024477148425877657,0.10760291729507612
"frozenset({'Lord of the Rings: The Two Towers, The (2002)=high'})",frozenset({'Pulp Fiction (1994)=high'}),0.0612265231903552,0.09525232899915309,0.008020724356100234,0.13100081366965013,1.3753029983215936,1.0,0.0021887554256982446,1.0411375352622105,0.29068514155452224,0.05402684563758389,0.03951210466333832,0.10760291729507612
